,Location,Rank,University
274,Gandhinagar,720,Institute of Advanced Research
275,Sardarshahr,437,Institute of Advanced Studies in Education
276,Mumbai,259,Institute of Chemical Technology
277,Ahmedabad,520,"Institute of Infrastructure, Technology, Research and Management"
278,Lucknow,310,Integral University
279,Mumbai,183,International Institute for Population Sciences
280,Bangalore,124,International Institute of Information Technology Bangalore
281,Hyderabad,19,"International Institute of Information Technology, Hyderabad"
282,Bareilly,341,Invertis University
283,Pulwama,620,Islamic University of Science and Technology
284,Gwalior,396,ITM University Gwalior
285,Raipur,684,ITM University Raipur
286,Kolkata,55,Jadavpur University
287,Jaipur,548,Jagadguru Ramanandacharya Rajasthan Sanskrit University
288,Chitrakoot,651,Jagadguru Rambhadracharya Handicapped University
289,Mysore ...,395,Jagadguru Sri Shivarathreeswara University
290,Jaipur,428,Jagan Nath University
291,Jhajjar,628,"Jagan Nath University, NCR"
292,Bhopal,604,Jagran Lakecity University
293,Jodhpur,290,Jai Narain Vyas University
294,Chapra,439,Jai Prakash Vishwavidyalaya
295,Bangalore,217,Jain University
296,Ladnun,458,Jain Vishva Bharati Institute
297,Jaipur,170,Jaipur National University
298,New Delhi,111,Jamia Hamdard
299,New Delhi,52,Jamia Millia Islamia
300,Udaipur,333,Janardan Rai Nagar Rajasthan Vidhyapeeth University
301,Puducherry,50,Jawaharlal Institute of Postgraduate Medical Education and Research
302,Hyderabad,405,Jawaharlal Nehru Architecture and Fine Arts University
303,Bangalore,83,Jawaharlal Nehru Centre for Advanced Scientific Research
304,Jabalpur,429,Jawaharlal Nehru Krishi Vishwavidyalaya
305,Hyderabad ...,63,Jawaharlal Nehru Technological University
306,Anantapur,249,"Jawaharlal Nehru Technological University, Anantapur"
307,Kakinada,128,"Jawaharlal Nehru Technological University, Kakinada"
308,New Delhi,11,Jawaharlal Nehru University
309,Jaipur,464,Jayoti Vidyapeeth Women's University
310,Noida,195,Jaypee Institute of Information Technology
311,Raghogarh,493,Jaypee University of Engineering and Technology
312,Waknaghat,311,Jaypee University of Information Technology
313,Anupshahr,702,"Jaypee University, Anoopshahr"
314,Jaipur,411,JECRC University
315,Ranchi,646,Jharkhand Rai University
316,Gwalior,136,Jiwaji University
317,Jaipur,433,JK Lakshmipat University
318,Jodhpur,518,Jodhpur National University
319,Shikohabad,727,JS University
320,Junagadh,363,Junagadh Agricultural University
321,Vaddeswaram,110,K L University
322,Gurgaon,579,K.R. Mangalam University
323,Gandhinagar,598,Kadi Sarva VishwaVidyalaya
324,Warangal ...,161,Kakatiya University
325,Krishnankoil,336,Kalasalingam University
326,Raipur,584,Kalinga University
327,Gandhinagar,683,Kamdhenu University
328,Darbhanga,650,Kameshwar Singh Darbhanga Sanskrit University
329,Vidyaranya,565,Kannada University
330,Kannur,174,Kannur University
331,Dharwad,283,Karnatak University
332,Shiggaon,737,Karnataka Janapada Vishwavidyalaya
333,Bangalore,621,Karnataka Sanskrit University
334,Hubli,498,Karnataka State Law University
335,Bijapur ...,539,Karnataka State Women's University
336,Bidar,729,"Karnataka Veterinary, Animal and Fisheries Sciences University"
